#fef4f4,#96514d,#e6b422,#006e54,#895b8a
#fdeff2,#8d6449,#d9a62e,#00a381,#824880
#e9dfe5,#deb068,#d3a243,#38b48b,#915c8b
#e4d2d8,#bf794e,#c89932,#00a497,#9d5b8b
#f6bfbc,#bc763c,#d0af4c,#80aba9,#7a4171
#f5b1aa,#b98c46,#8b968d,#5c9291,#bc64a4
#f5b199,#b79b5b,#6e7955,#478384,#b44c97
#efab93,#b77b57,#767c6b,#43676b,#aa4c8f
#f2a0a1,#b68d4c,#888e7e,#80989b,#cc7eb1
#f0908d,#ad7d4c,#5a544b,#2c4f54,#cca6bf
#ee827c,#ad7d4c,#56564b,#1f3134,#c4a3bf
#f09199,#ae7c4f,#555647,#47585c,#e7e7eb
#f4b3c2,#ad7e4e,#494a41,#485859,#dcd6d9
#eebbcb,#ae7c58,#6b6f59,#6c848d,#d3cfd9
#e8d3c7,#a86f4c,#474b42,#53727d,#d3ccd6
#e8d3d1,#946243,#333631,#5b7e91,#c8c2c6
#e6cde3,#917347,#5b6356,#426579,#a6a5c4
#e5abbe,#956f29,#726250,#4c6473,#a69abd
#e597b2,#8c7042,#9d896c,#455765,#a89dac
#e198b4,#7b6c3e,#94846a,#44617b,#9790a4
#e4ab9b,#d8a373,#897858,#393f4c,#9e8b8e
#e09e87,#cd8c5c,#716246,#393e4f,#95859c
#d69090,#cd5e3c,#cbb994,#203744,#95949a
#d4acad,#cb8347,#d6c6af,#4d4c61,#71686c
#c97586,#c37854,#bfa46f,#eaf4fc,#705b67
#c099a0,#c38743,#9e9478,#eaedf7,#634950
#b88884,#c39143,#a59564,#e8ecef,#5f414b
#b48a76,#bf783a,#715c1f,#ebf6f7,#4f455c
#a86965,#bb5535,#c7b370,#c1e4e9,#5a5359
#a25768,#bb5520,#dcd3b2,#bce2e8,#594255
#ec6d71,#b55233,#a19361,#a2d7dd,#524748
#eb6ea5,#aa4f37,#8f8667,#abced8,#513743
#e95295,#9f563a,#887938,#a0d8ef,#e6eae3
#e7609e,#9f563a,#6a5d21,#89c3eb,#d4dcd6
#d0576b,#9a493f,#918754,#84a2d4,#d4dcda
#c85179,#98623c,#a69425,#83ccd2,#d3cbc6
#e9546b,#965042,#ada250,#84b9cb,#c8c2be
#e95464,#965036,#938b4b,#698aab,#b3ada0
#c85554,#95483f,#8c8861,#008899,#a99e93
#c53d43,#954e2a,#a1a46d,#00a3af,#a58f86
#e83929,#8f2e14,#726d40,#2a83a2,#928178
#e60033,#8a3319,#928c36,#59b9c6,#887f7a
#e2041b,#8a3b00,#dccb18,#2ca9e1,#b4866b
#d7003a,#852e19,#d7cf3a,#38a1db,#b28c6e
#c9171e,#7b4741,#c5c56a,#0095d9,#a16d5d
#d3381c,#773c30,#c3d825,#0094c8,#9f6f55
#ce5242,#783c1d,#b8d200,#2792c3,#8c6450
#d9333f,#762f07,#e0ebaf,#007bbb,#856859
#b94047,#752100,#d8e698,#5383c3,#765c47
#ba2636,#6c3524,#c7dc68,#5a79ba,#6f514c
#b7282e,#683f36,#99ab4e,#4c6cb3,#6f4b3e
#a73836,#664032,#7b8d42,#3e62ad,#544a47
#9e3d3f,#6d3c32,#69821b,#1e50a2,#543f32
#a22041,#583822,#aacf53,#507ea4,#554738
#a22041,#6c2c2f,#b0ca71,#19448e,#433d3c
#f8f4e6,#640125,#b9d08b,#164a84,#432f2f
#ede4cd,#f8b862,#839b5c,#165e83,#3f312b
#e9e4d4,#f6ad49,#cee4ae,#274a78,#302833
#ebe1a9,#f39800,#82ae46,#2a4073,#ffffff
#f2f2b0,#f08300,#a8c97f,#223a70,#fffffc
#e4dc8a,#ec6d51,#9ba88d,#192f60,#f7fcfe
#f8e58c,#ee7948,#c8d5bb,#1c305c,#f8fbf8
#ddbb99,#ed6d3d,#c1d8ac,#0f2350,#fbfaf5
#d7a98c,#ec6800,#a8bf93,#17184b,#f3f3f3
#f2c9ac,#ec6800,#769164,#0d0015,#f3f3f2
#fff1cf,#ee7800,#d6e9ca,#bbc8e6,#eae5e3
#fddea5,#eb6238,#93ca76,#bbbcde,#e5e4e6
#fce2c4,#ea5506,#93b881,#8491c3,#dcdddd
#fde8d0,#ea5506,#badcad,#8491c3,#dddcd6
#f9c89b,#eb6101,#97a791,#4d5aaf,#c0c6c9
#f7bd8f,#e49e61,#98d98e,#4d5aaf,#afafb0
#f6b894,#e45e32,#88cb7f,#4a488e,#adadad
#f4dda5,#e17b34,#69b076,#4d4398,#a3a3a2
#f1bf99,#dd7a56,#6b7b6e,#5654a2,#9ea1a3
#f1bf99,#db8449,#bed2c3,#706caa,#9fa0a0
#efcd9a,#d66a35,#93b69c,#68699b,#949495
#efcd9a,#ffd900,#a6c8b2,#867ba9,#888084
#f0cfa0,#ffd900,#47885e,#dbd0e6,#7d7d7d
#edd3a1,#ffea00,#316745,#a59aca,#7b7c7d
#e0c38c,#ffec47,#68be8d,#7058a3,#727171
#f3bf88,#fef263,#3eb370,#674598,#595857
#f7b977,#fcd575,#007b43,#674196,#595455
#f19072,#fbd26b,#bed3ca,#9079ad,#524e4d
#f19072,#f5e56b,#92b5a9,#745399,#474a4d
#ee836f,#eec362,#7ebea5,#65318e,#383c3c
#eb9b6f,#ebd842,#7ebeab,#522f60,#2b2b2b
#e0815e,#ffdb4f,#028760,#493759,#2b2b2b
#df7163,#fbca4d,#3b7960,#2e2930,#180614
#d57c6b,#fcc800,#2f5d50,#884898,#281a14
#d0826c,#f8b500,#3a5b52,#c0a2c7,#000b00
#ca8269,#fabf14,#475950,#460e44,#250d00
#bb5548,#f7c114,#00552e,#74325c,#241a08
#ab6953,#e6b422,#005243,#55295b,#16160e
